feature,importance
LANDAREA_MODE,12649.152935028076
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,12635.72276878357
LANDAREA_AVG,12551.483505249023
POS_POS_INSTALLMENT_RATIO_MEAN,12237.311492919922
PREV_AMT_APPLICATION_MAX,12176.117035865784
BB_BB_STATUS_C_MEAN,11994.781803131104
CC_RECENT_CC_UTILIZATION,11952.579931259155
INST_INST_PAYMENT_DIFF_SUM,11749.603784561157
NONLIVINGAREA_AVG,11623.93529510498
CC_CNT_DRAWINGS_CURRENT_MEAN,11472.466131210327
CC_VERY_RECENT_CC_PAYMENT_RATIO,11258.937910079956
BB_BB_STATUS_X_SUM,11215.7412109375
PREV_DAYS_LAST_DUE_MAX,11136.987714767456
NONLIVINGAREA_MODE,10989.214378356934
POS_SK_DPD_DEF_MEAN,10963.065469741821
APARTMENTS_MODE,10679.38236618042
BASEMENTAREA_MODE,10560.321743011475
AMT_REQ_CREDIT_BUREAU_QRT,10551.231716156006
NONLIVINGAREA_MEDI,10513.17416191101
PREV_PREV_APP_CANCELED_MEAN,10455.484214782715
POS_POS_INSTALLMENT_RATIO_MIN,10399.609489440918
PREV_DAYS_TERMINATION_MAX,10344.990976333618
BB_MONTHS_BALANCE_MIN,10242.596536636353
DEF_30_CNT_SOCIAL_CIRCLE,10195.001279830933
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,9976.283973693848
INST_INST_PAYMENT_DIFF_STD,9961.083679199219
INST_INST_EXACT_PAYMENT_MEAN,9746.003210067749
POS_RECENT_SK_DPD_MEAN,9601.777263641357
POS_DPD_TREND,9530.596092224121
LIVINGAREA_MODE,9259.983724594116
FLAG_DOCUMENT_3,9159.304401397705
COMMONAREA_MODE,8882.948488235474
CC_AVG_UTILIZATION,8866.432149887085
CC_CC_PAYMENT_RATIO_MAX,8809.209571838379
LANDAREA_MEDI,8661.915496826172
POS_RECENT_POS_HAS_DPD_MEAN,8589.093811035156
GEO_COMBINED_RISK,8486.3682346344
YEARS_BEGINEXPLUATATION_MEDI,8338.878114700317
DOC_ESSENTIAL_COUNT,8337.39525794983
GEO_BASEMENT_MEAN,8324.458305358887
APARTMENTS_AVG,8286.707426071167
INST_LATE_PAYMENT_RATE,8165.406391143799
PREV_PRODUCT_DIVERSITY,8130.628007888794
INST_INST_PAID_ON_TIME_SUM,8072.20299911499
REGION_POPULATION_RELATIVE,8060.990913391113
LIVINGAREA_AVG,7996.163190364838
BASEMENTAREA_AVG,7943.612394332886
INST_INST_OVERPAID_SUM,7861.272476196289
CC_NUM_ACTIVE_CARDS,7822.972093582153
CC_CNT_DRAWINGS_CURRENT_MAX,7804.776895523071
CC_CC_PAYMENT_RATIO_MEAN,7560.664095878601
COMMONAREA_AVG,7473.463905334473
INST_TOTAL_UNDERPAID,7457.199146270752
LIVINGAPARTMENTS_MODE,7384.588098526001
PREV_CANCEL_RATE,7263.906726837158
BASEMENTAREA_MEDI,7193.400974273682
POS_RECENT_SK_DPD_MAX,7137.932113647461
LIVINGAPARTMENTS_MEDI,7125.23260307312
CNT_FAM_MEMBERS,6979.781488418579
INST_INST_UNDERPAID_MEAN,6953.453742027283
GEO_APARTMENTS_MEAN,6867.825721740723
POS_SK_DPD_DEF_MAX,6817.520324707031
OBS_30_CNT_SOCIAL_CIRCLE,6770.523109436035
