feature,importance
BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,358.05572271347046
INST_INST_OVERPAID_SUM,355.8426208496094
CC_UTILIZATION_TREND,351.3242292404175
GEO_BUILDING_AGE_STD,343.3773889541626
OBS_30_CNT_SOCIAL_CIRCLE,341.21575832366943
GEO_LIVING_AREA_MEAN,337.9159526824951
LIVINGAREA_MODE,337.8566589355469
BUREAU_DAYS_CREDIT_UPDATE_MIN,335.16729068756104
CC_CC_DRAWING_RATIO_MEAN,334.33764839172363
BB_BB_STATUS_1_MEAN,332.97167205810547
INST_INST_EXACT_PAYMENT_MEAN,328.64998722076416
DOC_SUPPLEMENTARY_COUNT,328.2083396911621
NONLIVINGAREA_AVG,325.2376341819763
WALLSMATERIAL_MODE,315.6942195892334
CC_CNT_DRAWINGS_CURRENT_MAX,313.69912910461426
YEARS_BEGINEXPLUATATION_MEDI,313.46689796447754
BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,310.32940101623535
POS_DPD_TREND,308.7609314918518
CC_CC_UNDERPAYING_MEAN,308.50914001464844
POS_SK_DPD_DEF_SUM,303.903208732605
FLOORSMAX_AVG,303.4246997833252
POS_RECENT_SK_DPD_MAX,301.847412109375
INST_INST_PAID_ON_TIME_SUM,296.37003993988037
APARTMENTS_MODE,296.0130224227905
CC_NUM_ACTIVE_CARDS,294.9616804122925
ENTRANCES_AVG,293.598801612854
AMT_REQ_CREDIT_BUREAU_QRT,293.3976192474365
OBS_60_CNT_SOCIAL_CIRCLE,287.4028606414795
PREV_PREV_APP_REFUSED_SUM,284.9937963485718
REGION_POPULATION_RELATIVE,278.8393392562866
CC_AMT_PAYMENT_CURRENT_STD,278.14488315582275
PREV_AMT_GOODS_PRICE_MAX,277.4997501373291
LIVINGAPARTMENTS_AVG,276.7654609680176
CC_CNT_DRAWINGS_ATM_CURRENT_MAX,276.5060405731201
LIVINGAREA_MEDI,276.1011209487915
GEO_LIVING_AREA_STD,273.89191150665283
GEO_REGION_POPULATION_RELATIVE_CATEGORY,273.04728984832764
BB_MONTHS_BALANCE_MIN,268.78510189056396
CC_CC_CASH_DRAWING_RATIO_MEAN,265.1320381164551
BB_BB_STATUS_X_SUM,264.2743101119995
FLAG_WORK_PHONE,263.46723985671997
NAME_HOUSING_TYPE,262.2978992462158
BB_RECENT_12M_DPD_RATE,261.65407848358154
POS_POS_HAS_DPD_MEAN,260.8507299423218
BB_BB_STATUS_DPD_MEAN,253.89602947235107
CC_CC_RECEIVABLE_RATIO_MAX,253.0319004058838
INST_INST_OVERPAID_MEAN,251.99116039276123
AMT_REQ_CREDIT_BUREAU_YEAR,251.18375778198242
