iter	Passed	Remaining
639	95672	203303
640	95831	203174
641	95989	203043
642	96139	202894
643	96301	202770
644	96469	202660
645	96603	202478
646	96765	202355
647	96911	202198
648	97044	202013
649	97162	201799
650	97306	201638
651	97457	201490
652	97598	201324
653	97745	201171
654	97868	200966
655	98016	200814
656	98149	200631
657	98280	200445
658	98464	200365
659	98616	200220
660	98773	200086
661	98913	199918
662	99051	199746
663	99202	199601
664	99352	199452
665	99493	199286
666	99634	199119
667	99780	198964
668	99924	198803
669	100074	198655
670	100220	198499
671	100374	198359
672	100499	198160
673	100657	198028
674	100804	197876
675	100946	197712
676	101091	197553
677	101240	197404
678	101380	197235
679	101626	197275
680	101770	197115
681	101917	196961
682	102090	196857
683	102234	196697
684	102374	196529
685	102511	196356
686	102647	196180
687	102788	196015
688	102934	195858
689	103082	195706
690	103227	195550
691	103371	195390
692	103518	195236
693	103665	195081
694	103815	194934
695	103959	194775
696	104103	194614
697	104225	194415
698	104390	194294
699	104530	194128
700	104665	193952
701	104797	193770
702	104944	193616
703	105088	193458
704	105266	193361
705	105401	193186
706	105527	192993
707	105664	192823
708	105794	192638
709	105952	192505
710	106094	192342
711	106247	192200
712	106386	192032
713	106521	191858
714	106673	191713
715	106819	191559
716	106959	191392
717	107114	191254
718	107262	191102
719	107423	190975
720	107589	190855
721	107744	190717
722	107899	190577
723	108039	190412
724	108184	190256
725	108338	190114
726	108483	189958
727	108604	189759
728	108751	189605
729	108886	189433
730	109024	189264
731	109173	189114
732	109325	188970
733	109458	188793
734	109620	188667
735	109766	188511
736	109891	188321
737	110035	188164
738	110201	188044
739	110334	187866
740	110481	187714
741	110621	187549
742	110771	187402
743	110935	187278
744	111088	187135
745	111242	186994
746	111385	186834
747	111535	186688
748	111680	186531
749	111829	186381
750	111962	186206
751	112102	186041
752	112251	185893
753	112398	185741
754	112531	185565
755	112696	185442
756	112860	185317
757	113002	185157
758	113128	184970
759	113271	184811
760	113440	184694
761	113560	184498
762	113703	184340
763	113831	184157
764	113959	183974
765	114082	183783
766	114218	183613
767	114356	183446
768	114488	183271
769	114620	183095
770	114804	183001
771	114935	182825
772	115086	182678
773	115222	182509
774	115369	182358
775	115499	182179
776	115651	182036
777	115800	181887
778	115944	181731
779	116095	181585
780	116242	181433
781	116380	181268
782	116519	181103
783	116648	180924
784	116783	180753
785	116943	180622
786	117095	180479
787	117219	180291
788	117351	180117
789	117493	179958
790	117662	179841
791	117800	179674
792	117970	179559
793	118104	179388
794	118259	179248
795	118392	179076
796	118571	178972
797	118727	178835
798	118896	178716
799	119067	178600
800	119205	178435
801	119353	178286
802	119515	178156
803	119678	178029
804	119812	177858
805	119951	177694
806	120073	177506
807	120205	177332
808	120362	177195
809	120511	177048
810	120657	176894
811	120797	176733
812	120941	176578
813	121071	176401
814	121203	176228
815	121341	176064
816	121472	175889
817	121611	175726
818	121776	175601
819	121904	175423
820	122030	175242
821	122192	175112
822	122328	174945
823	122513	174849
824	122669	174711
825	122800	174536
826	122948	174387
827	123098	174240
828	123226	174062
829	123368	173904
830	123512	173749
831	123652	173588
832	123816	173462
833	123949	173290
834	124104	173151
835	124256	173007
836	124393	172843
837	124546	172700
838	124683	172536
839	124849	172410
840	124999	172264
841	125136	172100
842	125278	171942
843	125416	171779
844	125564	171629
845	125714	171483
846	125848	171314
847	125979	171141
848	126126	170991
849	126268	170834
850	126416	170684
851	126561	170531
852	126683	170346
853	126847	170218
854	126990	170062
855	127122	169892
856	127272	169745
857	127425	169604
858	127563	169440
859	127714	169295
860	127857	169140
861	128010	168997
862	128145	168831
863	128298	168689
864	128420	168505
865	128555	168339
866	128685	168167
867	128838	168023
868	128973	167858
869	129124	167712
870	129249	167534
871	129375	167357
872	129549	167241
873	129676	167066
874	129816	166906
875	129969	166764
876	130112	166609
877	130246	166442
878	130374	166268
879	130516	166111
880	130655	165952
881	130796	165793
882	130944	165645
883	131085	165488
884	131226	165329
885	131366	165172
886	131529	165041
887	131688	164907
888	131837	164760
889	131993	164620
890	132133	164462
891	132261	164289
892	132389	164115
893	132515	163940
894	132679	163810
895	132807	163637
896	132937	163466
897	133072	163302
898	133216	163149
899	133356	162991
900	133483	162817
901	133637	162676
902	133775	162516
903	133914	162356
904	134059	162204
905	134208	162056
906	134333	161881
907	134500	161755
908	134653	161613
909	134774	161433
910	134919	161281
911	135076	161144
912	135220	160990
913	135340	160809
914	135494	160668
915	135638	160515
916	135769	160347
917	135901	160180
918	136053	160036
919	136205	159893
920	136364	159758
921	136516	159614
922	136666	159468
923	136815	159321
924	136972	159183
925	137099	159011
926	137228	158841
927	137365	158680
928	137501	158518
929	137633	158352
930	137764	158184
931	137927	158054
932	138067	157896
933	138200	157732
934	138360	157598
935	138510	157452
936	138654	157299
937	138794	157142
938	138936	156987
939	139109	156867
940	139248	156710
941	139380	156544
942	139520	156387
943	139645	156213
944	139768	156037
945	139903	155875
946	140048	155724
947	140180	155558
948	140335	155419
949	140480	155267
950	140617	155108
951	140759	154953
952	140879	154774
953	141022	154621
954	141170	154474
955	141322	154331
956	141443	154153
957	141588	154002
958	141714	153832
959	141866	153688
960	142006	153532
961	142158	153389
962	142312	153248
963	142441	153080
964	142574	152916
965	142703	152748
966	142853	152603
967	142983	152437
968	143106	152262
969	143236	152096
970	143401	151967
971	143527	151797
972	143693	151667
973	143827	151506
974	143966	151349
975	144098	151185
976	144237	151028
977	144369	150864
978	144523	150723
979	144679	150584
980	144815	150425
981	144979	150294
982	145110	150129
983	145265	149989
984	145414	149842
985	145555	149689
986	145702	149540
987	145853	149396
988	146005	149253
989	146151	149104
990	146284	148941
991	146420	148782
992	146557	148623
993	146689	148459
994	146829	148305
995	146974	148154
996	147112	147998
997	147269	147860
998	147422	147717
999	147569	147569
1000	147698	147403
1001	147828	147238
1002	147983	147098
1003	148114	146934
1004	148267	146792
1005	148419	146649
1006	148590	146524
1007	148745	146384
1008	148899	146243
1009	149027	146076
1010	149178	145932
1011	149321	145779
1012	149488	145652
1013	149647	145515
1014	149791	145364
1015	149938	145215
1016	150078	145061
1017	150211	144899
1018	150354	144747
1019	150501	144599
1020	150672	144473
1021	150809	144316
1022	150958	144170
1023	151094	144012
1024	151249	143871
1025	151392	143719
1026	151532	143564
1027	151687	143424
1028	151817	143259
1029	151975	143122
1030	152100	142954
1031	152250	142808
1032	152376	142641
1033	152525	142494
1034	152682	142356
1035	152839	142217
1036	153011	142092
1037	153142	141929
1038	153282	141775
1039	153430	141628
1040	153574	141477
1041	153720	141328
1042	153862	141175
1043	154005	141024
1044	154144	140869
1045	154284	140714
1046	154417	140554
1047	154561	140403
1048	154753	140296
1049	154906	140153
1050	155034	139988
1051	155180	139839
1052	155312	139677
1053	155448	139519
1054	155599	139375
1055	155733	139216
1056	155873	139062
1057	156016	138911
1058	156155	138755
1059	156301	138607
1060	156440	138452
1061	156582	138299
1062	156731	138153
1063	156862	137991
1064	157014	137848
1065	157147	137688
1066	157286	137533
1067	157415	137370
1068	157565	137224
1069	157704	137069
1070	157845	136917
1071	157983	136762
1072	158110	136597
1073	158265	136456
1074	158391	136290
1075	158535	136139
1076	158661	135974
1077	158807	135826
1078	158957	135681
1079	159094	135525
1080	159241	135377
1081	159371	135215
1082	159558	135101
1083	159712	134960
1084	159850	134805
1085	159976	134639
1086	160111	134481
1087	160256	134332
1088	160405	134187
1089	160540	134029
1090	160694	133887
1091	160823	133724
1092	160973	133580
1093	161116	133429
1094	161269	133286
1095	161432	133152
1096	161637	133052
1097	161782	132902
1098	161943	132767
1099	162091	132620
1100	162215	132453
1101	162363	132307
1102	162494	132146
1103	162667	132019
1104	162796	131857
1105	162937	131705
1106	163077	131552
1107	163239	131416
1108	163398	131279
1109	163528	131117
1110	163659	130957
1111	163791	130797
1112	163961	130668
1113	164091	130507
1114	164253	130371
1115	164401	130225
1116	164549	130078
1117	164696	129930
1118	164834	129775
1119	164985	129631
1120	165119	129474
1121	165269	129328
1122	165430	129192
1123	165576	129043
1124	165716	128890
1125	165847	128730
1126	165994	128583
1127	166133	128429
1128	166269	128273
1129	166410	128121
1130	166550	127968
1131	166710	127830
1132	166838	127668
1133	167006	127537
1134	167159	127394
1135	167281	127227
1136	167436	127086
1137	167584	126940
1138	167716	126781
1139	167851	126624
1140	168005	126482
1141	168141	126327
1142	168299	126187
1143	168447	126041
1144	168582	125884
1145	168713	125725
1146	168842	125564
1147	168993	125420
1148	169133	125267
1149	169263	125107
1150	169407	124958
1151	169538	124799
1152	169708	124668
1153	169866	124529
1154	169989	124364
1155	170145	124223
1156	170262	124055
1157	170395	123897
1158	170521	123734
1159	170646	123571
1160	170784	123417
1161	170945	123280
1162	171088	123130
1163	171239	122986
1164	171378	122833
1165	171504	122671
1166	171638	122514
1167	171792	122372
1168	171939	122225
1169	172085	122077
1170	172319	121992
1171	172622	121955
1172	172820	121843
1173	172981	121705
1174	173120	121552
1175	173282	121415
1176	173440	121275
1177	173598	121135
1178	173742	120986
1179	173880	120832
1180	174025	120682
1181	174167	120531
1182	174316	120386
1183	174475	120246
1184	174611	120091
1185	174787	119963
1186	174950	119827
1187	175089	119674
1188	175246	119533
1189	175413	119399
1190	175546	119242
1191	175711	119106
1192	175857	118958
1193	176004	118810
1194	176139	118654
1195	176288	118508
1196	176441	118364
1197	176596	118222
1198	176744	118075
1199	176884	117923
1200	177030	117774
1201	177178	117627
1202	177305	117466
1203	177450	117318
1204	177580	117159
1205	177708	116998
1206	177852	116849
1207	178005	116705
1208	178141	116550
1209	178271	116391
1210	178429	116251
1211	178587	116111
1212	178721	115955
1213	178849	115795
1214	179014	115659
1215	179154	115507
1216	179306	115362
1217	179454	115216
1218	179616	115078
1219	179756	114926
1220	179895	114773
1221	180038	114623
1222	180185	114475
1223	180326	114324
1224	180480	114181
1225	180608	114022
1226	180759	113876
1227	180884	113715
1228	181035	113570
1229	181168	113414
1230	181312	113265
1231	181442	113107
1232	181580	112953
1233	181720	112802
1234	181879	112662
1235	182030	112517
1236	182180	112371
1237	182314	112216
1238	182449	112061
1239	182613	111924
1240	182764	111779
1241	182912	111632
1242	183039	111473
1243	183190	111327
1244	183326	111174
1245	183475	111027
1246	183620	110879
1247	183738	110714
1248	183874	110560
1249	184001	110401
1250	184124	110238
1251	184258	110084
1252	184401	109934
1253	184553	109790
1254	184702	109643
1255	184837	109489
1256	184975	109337
1257	185096	109174
1258	185228	109018
1259	185353	108858
1260	185485	108702
1261	185615	108545
1262	185740	108385
1263	185874	108230
1264	186002	108072
1265	186146	107923
1266	186279	107768
1267	186428	107622
1268	186568	107471
1269	186719	107327
1270	186865	107179
1271	187006	107028
1272	187168	106890
1273	187310	106740
1274	187476	106604
1275	187615	106452
1276	187743	106294
1277	187888	106146
1278	188014	105987
1279	188163	105842
1280	188299	105688
1281	188473	105556
1282	188625	105412
1283	188752	105254
1284	188886	105100
1285	189032	104952
1286	189177	104804
1287	189300	104644
1288	189437	104492
1289	189590	104348
1290	189711	104187
1291	189851	104036
1292	190022	103902
1293	190163	103752
1294	190309	103605
1295	190447	103453
1296	190597	103307
1297	190730	103153
1298	190859	102996
1299	191013	102853
1300	191141	102696
1301	191267	102538
1302	191438	102404
1303	191570	102249
1304	191704	102095
1305	191842	101943
1306	191972	101788
1307	192105	101633
1308	192251	101486
1309	192401	101341
1310	192538	101189
1311	192670	101034
1312	192801	100879
1313	192962	100740
1314	193120	100598
1315	193271	100454
1316	193403	100299
1317	193539	100146
1318	193660	99987
1319	193808	99840
1320	193953	99692
1321	194081	99536
1322	194198	99374
1323	194353	99232
1324	194498	99084
1325	194639	98934
1326	194772	98780
1327	194909	98628
1328	195035	98471
1329	195186	98327
1330	195310	98168
1331	195446	98016
1332	195585	97866
1333	195714	97710
1334	195845	97556
1335	195989	97408
1336	196130	97258
1337	196267	97106
1338	196412	96959
1339	196571	96818
1340	196705	96665
1341	196852	96519
1342	196999	96372
1343	197131	96219
1344	197270	96068
1345	197414	95920
1346	197568	95777
1347	197721	95633
1348	197876	95491
1349	198017	95341
1350	198147	95186
1351	198283	95035
1352	198430	94888
1353	198585	94746
1354	198727	94597
1355	198864	94445
1356	199003	94295
1357	199141	94144
1358	199283	93996
1359	199427	93848
1360	199557	93693
1361	199688	93540
1362	199820	93386
1363	199952	93233
1364	200113	93093
1365	200256	92944
1366	200409	92801
1367	200544	92649
1368	200687	92501
1369	200811	92343
1370	200934	92186
1371	201088	92043
1372	201217	91888
1373	201350	91736
1374	201489	91585
1375	201634	91438
1376	201774	91289
1377	201890	91129
1378	202045	90986
1379	202172	90830
1380	202333	90690
1381	202481	90545
1382	202618	90394
1383	202784	90256
1384	202943	90115
1385	203089	89969
1386	203226	89818
1387	203374	89672
1388	203504	89518
1389	203669	89380
1390	203806	89229
1391	203943	89078
1392	204084	88929
1393	204228	88782
1394	204384	88639
1395	204537	88496
1396	204705	88358
1397	204854	88213
1398	204993	88063
1399	205126	87911
1400	205302	87777
1401	205458	87635
1402	205638	87502
1403	205773	87351
1404	205933	87210
1405	206089	87067
1406	206227	86917
1407	206382	86774
1408	206531	86629
1409	206671	86479
1410	206808	86329
1411	206977	86191
1412	207120	86043
1413	207264	85896
1414	207409	85748
1415	207539	85595
1416	207667	85441
1417	207817	85296
1418	207946	85142
1419	208080	84990
1420	208209	84837
1421	208353	84689
1422	208518	84550
1423	208659	84401
1424	208797	84251
1425	208923	84096
1426	209050	83942
1427	209187	83792
1428	209343	83649
1429	209478	83498
1430	209612	83347
1431	209743	83194
1432	209882	83045
1433	210021	82895
1434	210160	82745
1435	210318	82604
1436	210445	82450
1437	210592	82303
1438	210731	82154
1439	210861	82001
1440	210992	81849
1441	211108	81690
1442	211237	81537
1443	211374	81387
1444	211517	81240
1445	211659	81092
1446	211816	80949
1447	211970	80806
1448	212123	80662
1449	212230	80501
1450	212364	80350
1451	212510	80203
1452	212632	80048
1453	212770	79898
1454	212916	79752
1455	213079	79612
1456	213207	79459
1457	213340	79307
1458	213480	79159
1459	213644	79019
1460	213779	78868
1461	213939	78727
1462	214095	78584
1463	214341	78474
1464	214493	78330
1465	214637	78183
1466	214790	78039
1467	214926	77888
1468	215067	77740
1469	215225	77598
1470	215383	77456
1471	215508	77301
1472	215642	77151
1473	215798	77008
1474	215928	76855
1475	216055	76702
1476	216187	76551
1477	216352	76411
1478	216493	76263
1479	216638	76116
1480	216762	75962
1481	216921	75820
1482	217051	75668
1483	217172	75512
1484	217325	75368
1485	217471	75222
1486	217611	75073
1487	217765	74929
1488	217901	74780
1489	218021	74624
1490	218167	74478
1491	218293	74325
1492	218431	74176
1493	218579	74030
1494	218744	73890
1495	218880	73740
1496	219011	73589
1497	219167	73446
1498	219289	73291
1499	219448	73149
1500	219576	72997
1501	219733	72854
1502	219863	72702
1503	219996	72551
1504	220153	72409
1505	220306	72265
1506	220448	72117
1507	220581	71967
1508	220733	71822
1509	220864	71671
1510	220993	71519
1511	221133	71371
1512	221297	71230
1513	221488	71098
1514	221672	70964
1515	221813	70816
1516	221957	70669
1517	222080	70515
1518	222242	70374
1519	222391	70228
1520	222534	70081
1521	222681	69935
1522	222829	69789
1523	222989	69647
1524	223152	69506
1525	223309	69363
1526	223459	69218
1527	223593	69068
1528	223736	68920
1529	223855	68766
1530	223983	68614
1531	224128	68467
1532	224274	68321
1533	224402	68169
1534	224566	68028
1535	224711	67881
1536	224861	67736
1537	224988	67584
1538	225124	67434
1539	225260	67285
1540	225397	67136
1541	225527	66985
1542	225668	66837
1543	225799	66687
1544	225927	66535
1545	226070	66388
1546	226218	66242
1547	226371	66098
1548	226510	65949
1549	226641	65799
1550	226773	65648
1551	226919	65502
1552	227059	65354
1553	227183	65202
1554	227330	65055
1555	227462	64905
1556	227605	64758
1557	227754	64613
1558	227879	64461
1559	228029	64315
1560	228171	64168
1561	228319	64022
1562	228449	63872
1563	228580	63721
1564	228715	63572
1565	228863	63427
1566	228996	63277
1567	229150	63133
1568	229302	62988
1569	229459	62845
1570	229616	62702
1571	229766	62557
1572	229922	62413
1573	230066	62267
1574	230203	62118
1575	230358	61974
1576	230504	61828
1577	230639	61679
1578	230781	61532
1579	230944	61390
1580	231098	61246
1581	231230	61096
1582	231379	60950
1583	231508	60800
1584	231648	60652
1585	231781	60502
1586	231912	60352
1587	232048	60204
1588	232184	60055
1589	232319	59906
1590	232455	59757
1591	232616	59615
1592	232759	59468
1593	232909	59323
1594	233039	59173
1595	233184	59026
1596	233322	58878
1597	233467	58732
1598	233596	58581
1599	233744	58436
1600	233881	58287
1601	234025	58141
1602	234176	57996
1603	234310	57847
1604	234470	57704
1605	234605	57555
1606	234755	57410
1607	234896	57263
1608	235034	57115
1609	235188	56971
1610	235319	56821
1611	235457	56673
1612	235582	56522
1613	235737	56378
1614	235881	56231
1615	236008	56081
1616	236149	55933
1617	236326	55795
1618	236464	55647
1619	236593	55497
1620	236721	55347
1621	236849	55196
1622	236987	55048
1623	237131	54902
1624	237291	54759
1625	237438	54613
1626	237593	54469
1627	237741	54324
1628	237871	54174
1629	238027	54030
1630	238158	53881
1631	238289	53731
1632	238428	53584
1633	238554	53433
1634	238714	53291
1635	238863	53145
1636	239017	53001
1637	239153	52853
1638	239292	52705
1639	239398	52550
1640	239542	52404
1641	239702	52261
1642	239839	52113
1643	239987	51968
1644	240117	51818
1645	240245	51668
1646	240388	51522
1647	240533	51376
1648	240669	51228
1649	240818	51082
1650	240973	50938
1651	241113	50791
1652	241251	50643
1653	241382	50494
1654	241516	50346
1655	241671	50202
1656	241833	50059
1657	241994	49916
1658	242126	49767
1659	242255	49618
1660	242377	49467
1661	242531	49323
1662	242673	49176
